,Name,ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,yumen,1528998.0,40.28,97.2,20.57,61.0,0.0,1.07
88,laguna,5364271.0,38.42,-121.42,59.0,82.0,1.0,4.7
90,buala,2109528.0,-8.14,159.59,88.57,59.0,0.0,2.08
91,nushki,1168749.0,29.55,66.02,47.91,67.0,0.0,3.02
92,stettler,6156307.0,52.32,-112.72,20.68,88.0,0.0,1.39
93,vilyuysk,2013392.0,63.76,121.62,-27.17,96.0,93.0,10.42
94,cabedelo,3404558.0,-6.98,-34.83,80.6,88.0,20.0,6.93
95,tukrah,88834.0,32.53,20.58,52.27,59.0,100.0,11.99
96,lazaro cardenas,4026082.0,17.96,-102.2,73.53,79.0,48.0,1.97
97,roma,5134295.0,43.21,-75.46,34.0,100.0,90.0,3.36
98,pasinler,302824.0,39.98,41.68,-5.8,83.0,0.0,2.24
99,esil,1524296.0,51.96,66.4,17.74,87.0,100.0,24.87
100,khash,1160571.0,28.22,61.22,42.93,77.0,0.0,5.06
101,taganak,1684606.0,6.08,118.3,80.6,94.0,40.0,5.99
102,pedro betancourt,3544607.0,22.73,-81.29,73.4,73.0,1.0,5.82
104,fortuna,5563839.0,40.6,-124.16,59.0,87.0,90.0,10.29
105,mumbwa,904422.0,-14.98,27.06,61.57,97.0,27.0,4.9
106,monopoli,6541257.0,40.96,17.29,55.99,93.0,100.0,2.24
107,cartama,2520055.0,36.71,-4.63,51.01,93.0,40.0,5.82
108,yarada,1252783.0,17.65,83.27,69.8,94.0,20.0,3.36
109,alofi,4036284.0,-19.06,-169.92,84.2,79.0,22.0,9.17
110,lompoc,5367788.0,34.64,-120.46,66.0,87.0,1.0,8.05
111,port elizabeth,964420.0,-33.92,25.57,68.0,94.0,75.0,17.22
112,vaini,4032243.0,-21.2,-175.2,80.6,88.0,90.0,12.75
113,oil city,5204278.0,41.43,-79.71,35.01,97.0,90.0,8.05
114,hilo,5855927.0,19.73,-155.09,80.6,57.0,90.0,4.7
115,tuatapere,2180815.0,-46.13,167.68,65.64,51.0,98.0,4.76
116,talnakh,1490256.0,69.49,88.4,3.2,84.0,75.0,11.18
117,atambua,1651103.0,-9.11,124.89,84.45,68.0,0.0,5.91
120,georgetown,1735106.0,5.41,100.34,80.6,78.0,20.0,3.36
121,quatre cocos,1106643.0,-20.21,57.76,77.0,78.0,40.0,14.99
122,pundaguitan,1698289.0,6.37,126.17,82.02,78.0,3.0,6.42
123,luanda,2240449.0,-8.84,13.23,80.6,78.0,20.0,4.7
124,esperance,2071860.0,-33.87,121.9,75.2,53.0,95.0,6.93
125,asfi,2537881.0,32.3,-9.24,50.88,89.0,3.0,5.53
126,hasaki,2112802.0,35.73,140.83,41.0,93.0,75.0,3.36
129,yarmouth,4956335.0,41.71,-70.23,48.99,93.0,90.0,12.75
130,wasilla,5877641.0,61.58,-149.44,8.6,59.0,1.0,5.82
131,iqaluit,5983720.0,63.75,-68.51,-27.0,60.0,5.0,6.93
132,san patricio,3985168.0,19.22,-104.7,78.8,78.0,75.0,6.93
133,griffith,4920986.0,41.53,-87.42,34.0,95.0,90.0,9.71
134,ossora,2122389.0,59.24,163.07,32.81,87.0,100.0,30.65
135,port alfred,964432.0,-33.59,26.89,66.99,98.0,80.0,8.01
136,katobu,1640972.0,-4.94,122.53,86.47,75.0,44.0,2.46
137,salalah,286621.0,17.02,54.09,77.0,78.0,75.0,4.7
138,port moresby,2088122.0,-9.44,147.18,87.8,74.0,75.0,5.82
139,padang,1633419.0,-0.95,100.35,77.05,87.0,93.0,1.16
140,paamiut,3421193.0,61.99,-49.67,18.12,64.0,86.0,23.8
141,rio gallegos,3838859.0,-51.62,-69.22,53.6,46.0,20.0,23.04
142,iquitos,3696183.0,-3.75,-73.25,78.8,88.0,40.0,2.24
143,tabora,149658.0,-5.02,32.8,68.0,100.0,75.0,3.4
144,leirvik,3147822.0,59.78,5.5,44.01,100.0,100.0,12.75
